-1.2738,-9.1894,-5.0951,2.2064,-2.0829,0.6187
-1.1158,-10.0514,-3.3808,2.0433,-2.0276,0.8764
-0.7039,-11.2916,-0.2969,1.9493,-2.0187,1.0361
-0.3831,-15.6828,5.9379,3.1979,-0.2881,2.1512
1.2738,-17.1194,4.6306,4.134,2.0191,3.4081
2.8732,-14.1505,1.3169,3.4573,4.3871,4.3551
5.6554,-7.0585,1.7526,0.6355,4.3871,4.3551
7.1878,2.5332,3.1701,-2.0788,4.3871,4.3551
7.6044,10.8128,0.2921,-1.7551,4.3871,4.3551
4.8892,9.6587,-17.4403,1.4285,4.3871,1.3193
-3.7639,-4.7455,-24.9441,0.5501,2.3699,-2.2754
-1.9202,-3.6442,-18.125,-1.2646,0.703,-0.9263
-1.7335,-1.8532,-14.1409,-1.3455,0.0004,-0.6122
-2.6433,-1.8197,-10.468,-1.0699,-0.5686,-1.0777
-2.9785,-5.5069,-6.4264,-0.8664,-1.0248,-1.7876
-2.5523,-6.2588,-5.2771,-0.7884,-0.9505,-1.8126
